observation_date,INDPRO
1994-01-01,66.7591
1994-02-01,66.8019
1994-03-01,67.4704
1994-04-01,67.8707
1994-05-01,68.1870
1994-06-01,68.6450
1994-07-01,68.7317
1994-08-01,69.1882
1994-09-01,69.3935
1994-10-01,69.9576
1994-11-01,70.4288
1994-12-01,71.1273
1995-01-01,71.2635
1995-02-01,71.1758
1995-03-01,71.2796
1995-04-01,71.1538
1995-05-01,71.4997
1995-06-01,71.7327
1995-07-01,71.4334
1995-08-01,72.3723
1995-09-01,72.6543
1995-10-01,72.5336
1995-11-01,72.7170
1995-12-01,72.9638
1996-01-01,72.5712
1996-02-01,73.6207
1996-03-01,73.5141
1996-04-01,74.2491
1996-05-01,74.8142
1996-06-01,75.3726
1996-07-01,75.3738
1996-08-01,75.7557
1996-09-01,76.2302
1996-10-01,76.2157
1996-11-01,76.8973
1996-12-01,77.3772
1997-01-01,77.5135
1997-02-01,78.4255
1997-03-01,78.9197
1997-04-01,78.9848
1997-05-01,79.4296
1997-06-01,79.7971
1997-07-01,80.4666
1997-08-01,81.2825
1997-09-01,82.0327
1997-10-01,82.7656
1997-11-01,83.4270
1997-12-01,83.7840
1998-01-01,84.1564
1998-02-01,84.3066
1998-03-01,84.3420
1998-04-01,84.6339
1998-05-01,85.1867
1998-06-01,84.6809
1998-07-01,84.3445
1998-08-01,86.0816
1998-09-01,86.0023
1998-10-01,86.5910
1998-11-01,86.5115
1998-12-01,86.8615
1999-01-01,87.2205
1999-02-01,87.7260
1999-03-01,87.9125
1999-04-01,88.1082
1999-05-01,88.6483
1999-06-01,88.5903
1999-07-01,89.1098
1999-08-01,89.5007
1999-09-01,89.1304
1999-10-01,90.2709
1999-11-01,90.7528
1999-12-01,91.4784
2000-01-01,91.4092
2000-02-01,91.7245
2000-03-01,92.0830
2000-04-01,92.6659
2000-05-01,92.9347
2000-06-01,93.0018
2000-07-01,92.8373
2000-08-01,92.5910
2000-09-01,92.9827
2000-10-01,92.6400
2000-11-01,92.6604
2000-12-01,92.3457
2001-01-01,91.8908
2001-02-01,91.2851
2001-03-01,91.0585
2001-04-01,90.7384
2001-05-01,90.2607
2001-06-01,89.7811
2001-07-01,89.2352
2001-08-01,89.1570
2001-09-01,88.6749
2001-10-01,88.4051
2001-11-01,87.8860
2001-12-01,87.8518
2002-01-01,88.4634
2002-02-01,88.4578
2002-03-01,89.1265
2002-04-01,89.5507
2002-05-01,89.9348
2002-06-01,90.6736
2002-07-01,90.6436
2002-08-01,90.5505
2002-09-01,90.6373
2002-10-01,90.3988
2002-11-01,90.8947
2002-12-01,90.3906
2003-01-01,91.1369
2003-02-01,91.2505
2003-03-01,91.0006
2003-04-01,90.4311
2003-05-01,90.4000
2003-06-01,90.5196
2003-07-01,90.9869
2003-08-01,90.7933
2003-09-01,91.3819
2003-10-01,91.5049
2003-11-01,92.1265
2003-12-01,92.1732
2004-01-01,92.3268
2004-02-01,92.8995
2004-03-01,92.5368
2004-04-01,92.8957
2004-05-01,93.5845
2004-06-01,92.8651
2004-07-01,93.5502
2004-08-01,93.6301
2004-09-01,93.7353
2004-10-01,94.5695
2004-11-01,94.8015
2004-12-01,95.5415
2005-01-01,95.8785
2005-02-01,96.5709
2005-03-01,96.4345
2005-04-01,96.6347
2005-05-01,96.7251
2005-06-01,97.1483
2005-07-01,96.8397
2005-08-01,97.1584
2005-09-01,95.2764
2005-10-01,96.4411
2005-11-01,97.5016
2005-12-01,97.9723
2006-01-01,98.1270
2006-02-01,98.1687
2006-03-01,98.3913
2006-04-01,98.6826
2006-05-01,98.7074
2006-06-01,99.0398
2006-07-01,98.9751
2006-08-01,99.4047
2006-09-01,99.2246
2006-10-01,99.1229
2006-11-01,99.0963
2006-12-01,100.1125
2007-01-01,99.7546
2007-02-01,100.7166
2007-03-01,100.8952
2007-04-01,101.5723
2007-05-01,101.6269
2007-06-01,101.6547
2007-07-01,101.4953
2007-08-01,101.6943
2007-09-01,101.9428
2007-10-01,101.6446
2007-11-01,102.2167
2007-12-01,102.2764
